"BATCHID","INSTANCE_NAME","SNAP_TIME","DB_CPU","CONCURRENCY","DB_TIME","USER_IO","SYSTEM_IO","ADMINISTRATIVE","CONFIGURATION","OTHER","SCHEDULER","APPLICATION","CLUSTER","QUEUEING","COMMIT","NETWORK"
"1818","jydqdb1","2017-06-15 02:00:00","19647.89","0","67792.23","19460","404","0","0","4984.34","0","21572","1132","0","592","0"
"1818","jydqdb1","2017-06-07 23:00:00","29472.42","0","69495.89","21322","911","0","0","0","0","13066","2073","0","6047","0"
"1818","jydqdb1","2017-06-15 10:00:00","25160.18","0","55076.86","24025","1334","0","0","0","0","573","1921","0","4141","0"
"1818","jydqdb1","2017-06-15 13:00:00","26068.26","185","51742.96","16419","1500","0","0","0","0","134","1218","0","6657","0"
"1818","jydqdb1","2017-05-31 22:00:00","17795.94","0","50925.09","19116","454","0","0","1008.15","0","9910","2030","0","611","0"
"1818","jydqdb1","2017-06-01 14:00:00","18013.86","0","45361.44","16043","281","0","0","1384.58","0","7734","1567","0","338","0"
"1818","jydqdb2","2017-06-02 23:00:00","21457.24","0","45427.24","10376","1256","0","0","1356","0","0","2031","0","8544","407"
"1818","jydqdb2","2017-06-09 20:00:00","10452.84","0","19285.08","6417","664","0","0","493.24","0","0","321","0","514","423"
"1818","jydqdb2","2017-05-26 17:00:00","20046.61","0","48304.34","17957","2137","0","0","0","0","0","1309","0","9156","0"
"1818","jydqdb2","2017-06-10 06:00:00","17719.92","0","41133.44","16288","1212","0","0","3245.52","0","0","1692","0","264","712"
"1818","jydqdb2","2017-05-27 03:00:00","15582.08","0","32610.31","11694","590","0","0","0","0","0","754","0","1046","5666"
"1818","jydqdb2","2017-06-10 16:00:00","19704.94","0","58405.27","10535","796","0","0","24150.33","0","0","752","0","1571","896"
"1818","jydqdb2","2017-06-10 19:00:00","17861.48","0","28305.16","7347","738","0","0","0","0","0","350","0","1659","525"
"1818","jydqdb2","2017-06-04 06:00:00","19494.43","0","34326.64","7103","1314","0","0","1603.21","0","0","521","0","3718","573"
"1818","jydqdb2","2017-05-28 03:00:00","16093.87","0","36543.97","13243","547","0","0","0","0","0","397","0","1267","7361"
"1818","jydqdb2","2017-05-28 05:00:00","16286.67","0","28344.08","8500","834","0","0","1301.41","0","0","428","0","994","0"
"1818","jydqdb2","2017-06-05 02:00:00","15157.8","0","46269.38","14291","1017","0","0","0","0","0","1922","0","9189","7774"
"1818","jydqdb2","2017-06-11 17:00:00","20398.17","0","31878.93","7405","1164","0","0","89.76","0","0","371","0","1882","569"
"1818","jydqdb2","2017-05-29 02:00:00","14726.51","0","38036.97","18821","645","0","0","0","0","0","2574","0","1834","2819"
"1818","jydqdb2","2017-06-12 12:00:00","25548.36","0","36113.29","7403","1452","0","0","0","0","0","427","0","1826","502"
"1818","jydqdb2","2017-05-30 07:00:00","21752.39","0","63411.3","23625","1326","0","0","7744.91","0","0","1849","0","6447","667"
"1818","jydqdb1","2017-05-24 01:00:00","15147.51","0","68543.82","51003","333","0","0","0","0","0","4347","0","451","0"
"1818","jydqdb1","2017-05-25 06:00:00","12103.85","0","44675.76","25195","120","0","0","0","0","6438","3674","0","114","0"
"1818","jydqdb1","2017-05-26 21:00:00","19400.38","349","51280.48","22675","604","0","0","0","0","5394","2283","0","2555","0"
"1818","jydqdb2","2017-05-30 18:00:00","18688.1","0","46546.02","13472","1847","0","0","2119.92","0","0","1801","0","8618","0"
"1818","jydqdb2","2017-05-31 05:00:00","18795.44","0","39367.06","12097","641","0","0","6709.62","0","0","641","0","483","0"
"1818","jydqdb2","2017-06-03 17:00:00","20552.91","0","40641.01","7973","1698","0","0","98.1","0","0","1282","0","8549","488"
"1818","jydqdb2","2017-06-11 18:00:00","19826.34","0","31196.38","9166","1140","0","0","0","0","0","734","0","1160","514"
"1818","jydqdb1","2017-05-20 23:00:00","14003.92","0","49143.97","34261","459","0","0","0","0","0","2385","0","612","0"
"1818","jydqdb1","2017-05-24 13:00:00","55358.63","0","117999.86","25839","535","0","0","29486.23","0","2975","3015","0","791","0"
"1818","jydqdb1","2017-05-26 05:00:00","13149.43","0","54391.03","26004","77","0","0","2681.6","0","11166","1257","0","56","0"
"1818","jydqdb1","2017-05-26 08:00:00","45973.07","0","82525.21","31648","288","0","0","2049.14","0","0","2221","0","346","0"
"1818","jydqdb1","2017-06-09 19:00:00","17713.96","20","49524.85","20348","197","0","0","0","0","10728","1431","0","199","0"
"1818","jydqdb1","2017-06-09 22:00:00","22644.85","0","61690.69","20486","549","0","0","1519.84","0","14391","1971","0","129","0"
"1818","jydqdb1","2017-06-03 09:00:00","20702.98","0","61852.39","28174","488","0","0","654.41","0","9128","2067","0","638","0"
"1818","jydqdb1","2017-06-10 23:00:00","22424.52","0","59014.21","18071","908","0","0","0","0","15266","1573","0","4211","0"
"1818","jydqdb1","2017-05-27 14:00:00","19699.19","474","52042.31","16686","629","0","0","2170.12","0","6465","1454","0","4465","0"
"1818","jydqdb1","2017-05-27 16:00:00","20674.26","603","61880.68","27647","661","0","0","3369.42","0","0","3356","0","5570","0"
"1818","jydqdb1","2017-05-27 17:00:00","18879.36","302","51834.24","24497","621","0","0","0","0","5871","3107","0","2415","0"
"1818","jydqdb1","2017-06-04 02:00:00","11354.32","0","55341.74","21092","444","0","0","5260.42","0","14804","1726","0","661","0"
"1818","jydqdb1","2017-06-11 13:00:00","26062.88","0","54424.32","14190","1289","0","0","1541.44","0","3940","1885","0","5516","0"
"1818","jydqdb2","2017-05-17 09:00:00","26253.63","0","82938.49","38644","1199","0","0","6507.86","0","0","3197","0","6715","422"
"1818","jydqdb2","2017-05-30 09:00:00","20323.81","0","61943.7","22790","1292","0","0","7757.89","0","0","2608","0","7172","0"
"1818","jydqdb2","2017-06-13 11:00:00","27879.02","0","44981.15","10934","1558","0","0","0","0","0","1304","0","3828","0"
"1818","jydqdb2","2017-06-07 07:00:00","8460.97","0","19835.18","8771","554","0","0","805.21","0","0","642","0","602","0"
"1818","jydqdb2","2017-05-24 07:00:00","14492.14","0","26346.86","7022","1123","0","0","6.72","0","0","884","0","2819","0"
"1818","jydqdb2","2017-05-24 23:00:00","21652.32","0","50260.46","20888","942","0","0","0","0","0","4498","0","5479","491"
"1818","jydqdb2","2017-05-25 03:00:00","15713.11","0","41916.71","18859","466","0","0","0","0","0","1550","0","624","6030"
"1818","jydqdb2","2017-05-31 23:00:00","19614.26","0","40409.49","13688","938","0","0","0","0","0","2144","0","4876","0"
"1818","jydqdb2","2017-06-08 18:00:00","15407.3","0","28691.04","9530","796","0","0","305.74","0","0","616","0","1412","624"
"1818","jydqdb2","2017-06-15 13:00:00","27686.55","0","68995","11444","459","0","0","27481.45","0","0","891","0","602","431"
"1818","jydqdb2","2017-05-25 18:00:00","19706.52","0","49314","19526","1108","0","0","1415.48","0","0","2360","0","5198","0"
"1818","jydqdb2","2017-05-25 22:00:00","19243.49","0","51692.94","21193","1116","0","0","137.45","0","0","2274","0","7298","431"
"1818","jydqdb2","2017-06-09 06:00:00","13735.04","0","35183.6","16975","1043","0","0","765.56","0","0","1472","0","1193","0"
